ID,Nama Laptop,Seri ,Processor,Graphic Card,Storage ,RAM,OS,Harga,Port ,Image,category(nama brand),Panel layar,Refresh rate,Heavy
79,Lenovo IdeaPad Slim 5 Light 14ABR8,82XS000PID,AMD Ryzen 7 7730U,AMD Radeon Graphics,512GB ,16GB,Windows 11,"Rp11.599.000,00","1x HDMI 2.0,1x Headphone / microphone combo jack (3.5mm),1x Power connector,1x USB-C 3.2 Gen 1,2x USB 3.2 Gen 1",Ideapad 7,Lenovo,"14"" FHD (1920x1080) IPS",60hz,1.17kg
80,Acer Swift X 14 AI,SFX1472G,Intel Core Ultra 7 155H,NVIDIA GEFORCE RTX 4060,1 TB ,32 GB,Windows 11,"Rp27.999.000,00","USBA 3.2 Gen 1,USBC 3.2 Gen 2,Ethernet (RJ45)",Swift 1,Acer,"14.5"""" OLED, WQXGA+ 2880 x 1800,400 nits, 16:10",120Hz,2.1kg
81,Acer Swift Go 14,SFG1473,Intel Core Ultra 5 125H,Intel Arc Graphics,512 GB ,16 GB,Windows 11,"Rp12.499.000,00","USBA 3.2 Gen 1,USBC 3.2 Gen 2,Ethernet (RJ45)",Swift 2,Acer,"14.0"" 2.8K (2880 x 1800), IPS Display, 16:10, 300nits ",120Hz,1.91kg
82,Acer Swift X 14 Ultrathin,SFX1471G,Intel Core i7 13700H,NVIDIA GEFORCE RTX 4050,1 TB ,32 GB  ,Windows 11,"Rp24.499.000,00","USBA 3.2 Gen 1,USBC 3.2 Gen 2,Ethernet (RJ45)",Swift 3,Acer,"14.5"" OLED, WQXGA+ 2880 x 1800, 500 nits, 16:10",120Hz,1.79 kg
83,Acer Swift 14 Ultrathin,SF1471T,Intel Core i7 13700H,Intel Iris Xe Graphics 96 EU,1 TB ,16 GB  ,Windows 11,"Rp21.499.000,00","USBA 3.2 Gen 1,USBC 3.2 Gen 2,Ethernet (RJ45)",Swift 4,Acer,"14.0"""" IPS, WQXGA (QHD) 2560 x 1600, 16:10,425 nits.",120Hz,1.91kg
84,Acer Swift Go 14 (Touch),SFG1471T,Intel Core i7 13500H,Intel Iris Xe Graphics 96 EU,2 TB ,16 GB  ,Windows 11,"Rp15.199.000,00","USBA 3.2 Gen 1,USBC 3.2 Gen 2,Ethernet (RJ45)",Swift 5,Acer,"14.0"" Touchscreen, WUXGA (1920 x 1200), IPS Display, 16:10",120Hz,1.91kg
85,Acer Swift 3 Infinity 4 Ultrathin,SF314511,Intel Core i7 1165G7,Intel Iris Xe Graphics 96 EU,512 GB ,16 GB  ,Windows 11,"Rp15.649.000,00","USBA 3.2 Gen 1,USBC 3.2 Gen 2,Ethernet (RJ45)",Swift 6,Acer,"14"" IPS, Full HD (1920 x 1080), high-brightness (300nits)",120Hz,2.5kg
86,Acer Swift 5 Aerospace Ultrathin,SF51456T,Intel Core i7 1260P,Intel Iris Xe Graphics 80 EU,1 TB ,16 GB  ,Windows 11,"Rp20.499.000,00","USBA 3.2 Gen 1,USBC 3.2 Gen 2,Ethernet (RJ45)",Swift 7,Acer,"14.0"""" IPS, WQXGA (QHD) 2560 x 1600, 16:10",120Hz,1.91kg
87,Acer Swift Go Ultrathin,SFG1441,AMD Ryzen 7 7730U,AMD Radeon Graphics,512 GB ,16 GB  ,Windows 11,"Rp12.499.000,00","USBC 3.2 Gen 1 (full funcon),2 x USBA 3.2 Gen 1",Swift 8,Acer,"14"" IPS Full HD 1920 x 1080",120Hz,1.91kg
88,Acer Swift Edge 16 inch Ultrathin,SFA1641,AMD Ryzen 5 6600U,AMD Radeon 660M,512 GB ,16 GB  ,Windows 11,"Rp16.999.000,00","USBA 3.2 Gen 1,USBC 3.2 Gen 2,Ethernet (RJ45)",Swift 9,Acer,"16"" 4K (3840 x 2400), OLED with TUV",60Hz,1.1kg
89,Acer Swift Go 14 OLED,SFG1471,Intel Core i7 13700H,Intel Iris Xe Graphics 96 EU,1 TB ,16 GB  ,Windows 11,"Rp15.499.000,00","1x USB 3.2 Gen 2 TypeC support display , power delivery 1x USB 3.2 Gen 2 TypeC 2x USB 3.2 Gen 1 TypeA 1x 2.5G LAN port",Swift 10,Acer,"14-0"" OLED, WQXGA+ (2880 x 1800)",90Hz,1.3kg
90,Acer Swift Go OLED Special,SFG1471,Intel Core i5 13500H,Intel Iris Xe Graphics 80 EU,512 GB ,16 GB  ,Windows 11,"Rp13.199.000,00","1x USB 3.2 Gen 2 TypeC support display , power delivery 1x USB 3.2 Gen 2 TypeC 2x USB 3.2 Gen 1 TypeA 1x 2.5G LAN port",Swift 11,Acer,"14.0"" OLED, WQXGA+ (2880 x 1800)",90Hz,1.3kg
91,Acer Swift 14 Ultrathin Core i5,SF1471T,Intel Core i5 13500H,Intel Iris Xe Graphics 80 EU,512 GB ,16 GB  ,Windows 11,"Rp18.499.000,00","USBA 3.2 Gen 1,USBC 3.2 Gen 2,Ethernet (RJ45)",Swift 12,Acer,"14.0"""" IPS, WQXGA (QHD) 2560 x 1600, 16:10",60Hz,1.91kg
92,Acer Swift 3 Now,SF314512,Intel Core i5 1240P,Intel Iris Xe Graphics 80 EU,512 GB ,16 GB  ,Windows 11,"Rp11.249.000,00","1x USB 3.2 Gen 2 TypeC support display , power delivery 1x USB 3.2 Gen 2 TypeC 2x USB 3.2 Gen 1 TypeA 1x 2.5G LAN port",Swift 13,Acer,"14” QHD (2560 x 1440), IPS 100%",60Hz,1.79 kg
93,Acer Swift 3 OLED Ultrathin,SF314-71,Intel Core i7 12700H,Intel Iris Xe Graphics 96 EU,1 TB ,16 GB  ,Windows 11,"Rp15.199.000,00","USBA 3.2 Gen 1,USBC 3.2 Gen 2,Ethernet (RJ45)",Swift 14,Acer,"14"" 2.8K (2880 x 1800), OLED with TUV",60Hz,1.91kg
94,Acer Aspire 3 Slim,A31436M,Intel Core i3 N305,Intel UHD Graphics,256 GB ,8 GB ,Windows 11,"Rp5.949.000,00","USBA 3.2 Gen 1,USBC 3.2 Gen 2",Aspire 1,Acer,"14.0"" FHD 1920 x 1080",60Hz,1.79 kg
95,Acer Aspire 3 Spin 14,A3SP1431PT,Intel Core i3 N305,Intel UHD Graphics,512 GB ,8 GB ,Windows 11,"Rp8.499.000,00","USBA 3.2 Gen 1,USBC 3.2 Gen 3",Aspire 2,Acer,"14"" WUXGA (1920 x 1200), IPS Display",60Hz,1.79 kg
96,Acer Aspire Spin 14 Laptop,ASP1451MTN,Intel Core 3 100U,Intel Graphics 64 EU,512 GB ,16 GB  ,Windows 11,"Rp10.499.000,00","USBA 3.2 Gen 1,USBC 3.2 ",Aspire 3,Acer,"14"" Touchscreen with Stylus, WUXGA 1920 x 1200, IPS",60Hz,1.91kg
