ID,Nama Laptop,Seri ,Processor,Graphic Card,Storage ,RAM,OS,Harga,Port ,Image,category(nama brand),Panel layar,Refresh rate,Heavy
150,HP PAVILION PLUS 14-EY0015AU,8R294PA,AMD Ryzen 7 7840U,AMD Radeon 780M Graphics,1 TB ,16 GB,Windows 11,"Rp16.499.000,00","1 USB Type-C 5Gbps signaling rate,2 USB Type-A 5Gbps signaling rate",Pavillion 9,HP,"(14"") diagonal, 2.8K (2880 x 1800), OLED",120Hz,1.38kg
151,HP PAVILION PLUS14-EH1015TX,8R283PA,Intel Core i7 1355U,NVIDIA GeForce RTX 2050,1 TB ,16 GB,Windows 11,"Rp18.999.000,00","1 USB Type-C 5Gbps signaling rate,2 USB Type-A 5Gbps signaling rate",Pavillion 10,HP,"(14"") diagonal, 2.8K (2880 x 1800), OLED",90Hz,1.4kg
152,HP PAVILION 14-EK1067TU,88J07PA,Intel Core i5 1335U,Intel Iris Xe Graphics,512 GB ,16 GB,Windows 11,"Rp13.499.000,00","1 USB Type-C 5Gbps signaling rate,2 USB Type-A 5Gbps signaling rate",Pavillion 11,HP,"(14"") diagonal, FHD (1920 x 1080), multitouch-enabled, IPS",60Hz,1.51kg
153,HP PAVILION X360 14-EK1068TU,88J08PA,Intel Core i7 1355U,Intel Iris Xe Graphics,512 GB ,16 GB,Windows 11,"Rp15.299.000,00","1 USB Type-C 5Gbps signaling rate,2 USB Type-A 5Gbps signaling rate",Pavillion 12,HP,"(14"") diagonal, FHD (1920 x 1080)",60Hz,1.51kg
154,HP SPECTRE X360 14-EF2002TU,7M4V7PA,Intel Core i7 1355U,Intel Iris Xe Graphics,1 TB ,32 GB,Windows 11,"Rp26.300.000,00","1 USB Type-A 10Gbps signaling rate,2 Thunderbolt 4 with USB Type-C",Spectre 1,HP,"(13.5"") diagonal, WUXGA+ (1920 x 1280), multitouch-enabled, IPS",90Hz,1.36kg
155,HP SPECTRE 14-EF2000TU,7M4V5PA,Intel Core i7 1355U,Intel Iris Xe Graphics,2 TB ,32 GB,Windows 11,"Rp29.799.000,00","1 USB Type-A 10Gbps signaling rate,2 Thunderbolt 4 with USB Type-C",Spectre 2,HP,"(13.5"") diagonal, 3K2K (3000 x 2000), OLED",90Hz,1.36kg
156,HP SPECTRE FOLDABLE 17-CS0005TU,93T58PA,Intel Core i7 1250U,Intel Iris Xe Graphics,1 TB ,16 GB,Windows 11,"Rp75.000.000,00",2 Thunderbolt 4 with USB Type-C 40Gbps signaling rate,Spectre 3,HP,"(17"") diagonal, 2.5K (1920 x 2560), foldable OLED",90Hz,1.62kg
157,HP OMEN 16-XF0011AX,805W0PA,AMD Ryzen 7 7840HS ,NVIDIA GeForce RTX 4070,1 TB ,32 GB,Windows 11,"Rp29.999.000,00","1 USB Type-C 5Gbps signaling rate,2 USB Type-A 5Gbps signaling rate",Omen 1,HP,"(16.1"") diagonal, QHD (2560 x 1440)",240Hz,2.37kg
158,HP OMEN 16-XF0017AX,81L14PA,AMD Ryzen 9 7940HS,NVIDIA GeForce RTX 4070,2 TB ,32 GB,Windows 11,"Rp32.499.000,00","1 USB Type-C 5Gbps signaling rate,2 USB Type-A 5Gbps signaling rate",Omen 2,HP,"(16.1"") diagonal, QHD (2560 x 1440)",240Hz,2.37kg
159,HP OMEN TRANSCEND 16-U0046TX,8B4J8PA,Intel Core i9 13900HX,NVIDIA GeForce RTX 4070,1 TB ,32 GB,Windows 11,"Rp38.499.000,00","1 USB Type-C 5Gbps signaling rate,2 USB Type-A 5Gbps signaling rate",Omen 3,HP,"(16"") diagonal, WQXGA (2560 x 1600), mini-LED",240Hz,2.09kg
160,HP OMEN TRANSCEND 16-U0045TX,8B4J7PA,Intel Core i9 13900HX,NVIDIA GeForce RTX 4070,1 TB ,32 GB,Windows 11,"Rp38.499.000,00","1 USB Type-C 5Gbps signaling rate,2 USB Type-A 5Gbps signaling rate",Omen 4,HP,"(16"") diagonal, WQXGA (2560 x 1600), mini-LED",240Hz,2.1kg
161,HP ZBOOK FIREFLY  G10 A ,8J1B0PA,AMD Ryzen 7 7840HS,AMD Radeon Graphics,512 GB ,16 GB,Windows 11,"Rp23.999.000,00","1 SuperSpeed USB Type-A 5Gbps signaling rate,1 HDMI 2.0b, 2 Thunderbolt 4 with USB4 Type-C 40Gbps signaling rate",Zbook 1,HP,"14"" diagonal, WUXGA (1920 x 1200), IPS",90Hz,1.4kg
162,HP ZBook Firefly G10 Wolf Pro,9D6B8PT,Intel Core i7 1355U,NVIDIA RTX A500,512 GB ,16 GB,Windows 11,"Rp27.621.000,00","1 SuperSpeed USB Type-A 5Gbps signaling rate,1 HDMI 2.0b, 2 Thunderbolt 4 with USB4 Type-C 40Gbps signaling rate",Zbook 2,HP,"35.6 cm (14"") diagonal, WUXGA (1920 x 1200), touch, IPS",90Hz,1.45kg
163,HP ZBook Firefly G10 A Wolf Pro AutoCAD LT 2024,8J1B0PA,AMD Ryzen 7 7840HS,AMD Radeon Graphics,512 GB ,16 GB,Windows 11,"Rp29.493.000,00","1 SuperSpeed USB Type-A 5Gbps signaling rate,1 HDMI 2.0b, 2 Thunderbolt 4 with USB4 Type-C 40Gbps signaling rate",Zbook 3,HP,"(14"") diagonal, WUXGA (1920 x 1200), IPS",90Hz,1.4kg
164,HP ELITEBOOK 645 G9 BUSINESS,6P0T6PAAR6,AMD Ryzen 7 PRO 5875U,AMD Radeon Graphics,512 GB ,16 GB,Windows 11,"Rp18.500.000,00","1 USB Type-C 10Gbps signaling rate,3 USB Type-A 5Gbps signaling rate",Elitebook 1,HP,"(14"") diagonal, FHD (1920 x 1080), IPS",60Hz,1.36kg
165,HP EliteBook 835 G9,6P0T8PAAR6,AMD Ryzen 7 PRO 6850U,AMD Radeon 680M Graphics,1 TB ,16 GB,Windows 11,"Rp23.700.000,00","2 Thunderbolt 4 with USB Type-C 40Gbps signaling rate,2 USB Type-A 10Gbps signaling rate",Elitebook 2,HP,"(13.3"") diagonal, WUXGA (1920 x 1200), IPS",60Hz,1.31kg
166,HP ELITEBOOK 830 G10,8H5U7PA,Intel Core i7 1355U,Intel Iris Xe Graphics,1 TB ,16 GB,Windows 11,"Rp28.000.000,00","2 Thunderbolt 4 with USB Type-C 40Gbps signaling rate,2 USB Type-A 10Gbps signaling rate",Elitebook 3,HP,"(13.3"") diagonal, WUXGA (1920 x 1200), IPS",60Hz,1.26kg
167,HP DRAGONFLY G4,8H5V8PA,Intel Core i7 1365U,Intel Iris Xe Graphics,1 TB ,32 GB,Windows 11,"Rp35.300.000,00","2 Thunderbolt 4 with USB Type-C 40Gbps signaling rate,2 USB Type-A 10Gbps signaling rate",Elitebook 4,HP,"(13.5"") diagonal, WUXGA+ (1920 x 1280), touch, IPS",60Hz,0.99 kg
